filename	ATTRIBUTE_SampleType	ATTRIBUTE_Population	ATTRIBUTE_Urbanization_Score
NO03_NO2.mzXML	SAMPLE	Norman	(1) Urban Industrial
NO23_NO2.mzXML	SAMPLE	Norman	(1) Urban Industrial
NO04_NO2.mzXML	SAMPLE	Norman	(1) Urban Industrial
NO22_NO2.mzXML	SAMPLE	Norman	(1) Urban Industrial
NO19_NO2.mzXML	SAMPLE	Norman	(1) Urban Industrial
NO21_NO2.mzXML	SAMPLE	Norman	(1) Urban Industrial
18TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
1TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
10TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
17TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
11TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
4TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
26TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
23TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
16TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
HCO07.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
28TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
HCO10.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
2TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
14TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
HCO11.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO03.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
24TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
27TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
HCO04.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO14.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO41.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO13.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO15.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO62.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO61.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO09.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO18.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
6TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
HCO63.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO12.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
3TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
HCO69.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO66.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO16.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO67.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO21.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO73.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO65.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO64.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO74.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO70.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO53.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO17.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO72.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
31TM.mzXML	SAMPLE	Tambo de Mora	(2) Rural Industrial
HCO68.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
HCO01.mzXML	SAMPLE	Tunapuco	(3) Rural Traditional
